Time,Pooled reads (25),Skew (25) ,Pooled reads (50),Skew (50) ,Pooled reads (100),Skew (100) ,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (25),I (25),R (25),S (50),I (50),R (50),S (100),I (100),R (100),pool Ct (25),pool Ct (50),pool Ct (100),Sim no
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,24,0,1,49,1,0,98,1,1,Infinity,Infinity,Infinity,1
20.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,97,1,2,Infinity,Infinity,37.0,2
20.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,24,0,1,50,0,0,100,0,0,33.830074998557684,Infinity,Infinity,3
20.0,0.0,0.0,0.0,0.0,1518.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,26.432043924584534,4
20.0,0.0,0.0,0.0,0.0,37.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,1,0,Infinity,Infinity,31.79054663437105,5
20.0,0.0,0.0,421.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,49,0,1,98,0,2,Infinity,28.282323576933607,Infinity,6
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,49,1,0,100,0,0,Infinity,Infinity,Infinity,7
20.0,0.0,0.0,0.0,0.0,132.0,9.9991,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,97,1,2,Infinity,Infinity,29.955605880641546,8
20.0,0.0,0.0,0.0,0.0,1436.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,26.51215996617695,9
20.0,0.0,0.0,39735.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,48,1,1,100,0,0,Infinity,21.721877276021857,Infinity,10
20.0,0.0,0.0,0.0,0.0,6283.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,98,0,2,Infinity,Infinity,24.3827621352539,11
20.0,0.0,0.0,1.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,49,0,1,100,0,0,Infinity,37.0,Infinity,12
20.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,97,0,3,Infinity,Infinity,37.0,13
20.0,0.0,0.0,0.0,0.0,58.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,31.142019004872427,14
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,98,0,2,Infinity,Infinity,Infinity,15
20.0,141.0,5.0,11379.0,7.0711,5.0,10.0,0.0024,0.00865,98906,865,229,24,1,0,49,1,0,99,0,1,29.860448647601206,23.525913842984608,34.67807190511264,16
20.0,0.0,0.0,138.0,7.0711,2821.0,9.4027,0.0024,0.00865,98906,865,229,25,0,0,49,0,1,97,0,3,Infinity,29.89147554322183,25.538009049414427,17
20.0,0.0,0.0,0.0,0.0,20505.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,22.67631187678542,18
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,49,0,1,100,0,0,Infinity,Infinity,Infinity,19
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,20
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,1,0,Infinity,Infinity,Infinity,21
20.0,9.0,5.0,2784.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,24,0,1,49,0,1,100,0,0,33.830074998557684,25.55705650415127,Infinity,22
20.0,0.0,0.0,100.0,7.0711,4525.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,47,1,2,99,1,0,Infinity,30.356143810225277,24.85629792314207,23
20.0,0.0,0.0,0.0,0.0,139.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,29.88105892727649,24
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,25
20.0,0.0,0.0,0.0,0.0,143.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,29.840128663221613,26
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,27
20.0,0.0,0.0,0.0,0.0,568.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,97,1,2,Infinity,Infinity,27.85025288049532,28
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,0,1,Infinity,Infinity,Infinity,29
20.0,0.0,0.0,0.0,0.0,265.0,9.998,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,98,0,2,Infinity,Infinity,28.950151450549438,30
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,31
20.0,0.0,0.0,54.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,49,0,1,99,0,1,Infinity,31.24511249783653,Infinity,32
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,33
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,34
20.0,12812.0,5.0,56464.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,24,1,0,49,0,1,100,0,0,23.354791917225313,21.214956285220275,Infinity,35
20.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,99,1,0,Infinity,Infinity,36.0,36
20.0,0.0,0.0,0.0,0.0,318.0,10.0,0.0024,0.00865,98906,865,229,25,0,0,50,0,0,98,0,2,Infinity,Infinity,28.68711704471564,37
20.0,2.0,5.0,369.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,24,1,0,49,1,0,99,1,0,36.0,28.472522993939606,Infinity,38
20.0,0.0,0.0,18.0,7.0711,94.0,9.3178,0.0024,0.00865,98906,865,229,25,0,0,48,1,1,97,2,1,Infinity,32.83007499855769,30.445411148322364,39
20.0,1.0,5.0,0.0,0.0,2.0,10.0,0.0024,0.00865,98906,865,229,24,1,0,50,0,0,99,0,1,37.0,Infinity,36.0,40
20.0,0.0,0.0,22.0,7.0711,0.0,0.0,0.0024,0.00865,98906,865,229,25,0,0,48,0,2,100,0,0,Infinity,32.540568381362704,Infinity,41
