Time,Predicted pooled reads,Skew,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (sample),I (sample),R (sample),Sim no
30.0,19.68,-3.1414,0.03523333333333333,0.151,24156,4530,1314,41,5,4,63
30.0,33.16,-3.6343,0.03523333333333333,0.151,24156,4530,1314,46,0,4,64
30.0,17.7,-2.119,0.03523333333333333,0.151,24156,4530,1314,39,10,1,65
30.0,2.86,-2.695,0.03523333333333333,0.151,24156,4530,1314,40,7,3,66
30.0,261.74,-3.1465,0.03523333333333333,0.151,24156,4530,1314,41,6,3,67
30.0,15.36,-2.4138,0.03523333333333333,0.151,24156,4530,1314,42,6,2,68
30.0,8.52,-1.543,0.03523333333333333,0.151,24156,4530,1314,38,9,3,69
30.0,3.96,-3.5113,0.03523333333333333,0.151,24156,4530,1314,44,0,6,70
30.0,60.7,-2.5517,0.03523333333333333,0.151,24156,4530,1314,40,0,10,71
30.0,15.22,-2.6126,0.03523333333333333,0.151,24156,4530,1314,42,0,8,72
30.0,11.16,-2.7179,0.03523333333333333,0.151,24156,4530,1314,42,8,0,73
30.0,87.32,-1.8887,0.03523333333333333,0.151,24156,4530,1314,37,8,5,74
30.0,20.6,-2.0267,0.03523333333333333,0.151,24156,4530,1314,38,9,3,75
30.0,17.82,-2.3222,0.03523333333333333,0.151,24156,4530,1314,40,9,1,76
30.0,20.7,-4.4201,0.03523333333333333,0.151,24156,4530,1314,44,6,0,77
30.0,106.0,-2.3386,0.03523333333333333,0.151,24156,4530,1314,35,5,10,78
30.0,21.14,-2.4541,0.03523333333333333,0.151,24156,4530,1314,40,6,4,79
30.0,10.38,-2.7264,0.03523333333333333,0.151,24156,4530,1314,41,4,5,80
30.0,102.68,-3.541,0.03523333333333333,0.151,24156,4530,1314,43,7,0,81
30.0,12.52,-2.405,0.03523333333333333,0.151,24156,4530,1314,39,10,1,82
30.0,5.64,-2.6992,0.03523333333333333,0.151,24156,4530,1314,40,7,3,83
30.0,33.78,-2.188,0.03523333333333333,0.151,24156,4530,1314,38,5,7,84
30.0,30.1,-3.1193,0.03523333333333333,0.151,24156,4530,1314,43,0,7,85
30.0,96.18,-2.2006,0.03523333333333333,0.151,24156,4530,1314,38,12,0,86
30.0,2.66,-2.2169,0.03523333333333333,0.151,24156,4530,1314,40,9,1,87
