Time,Pooled reads (25),Skew (25) ,Pooled reads (50),Skew (50) ,Pooled reads (100),Skew (100) ,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (25),I (25),R (25),S (50),I (50),R (50),S (100),I (100),R (100),pool Ct (25),pool Ct (50),pool Ct (100),Sim no
20.0,0.0,0.0,1.0,7.0711,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,47,0,3,98,1,1,Infinity,37.0,Infinity,1
20.0,0.0,0.0,53486.0,7.0694,10.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,46,1,3,99,0,1,Infinity,21.29312630601578,33.67807190511264,2
20.0,13.0,5.0,0.0,0.0,0.0,0.0,0.003775,0.0145,39269,580,151,24,1,0,49,1,0,97,1,2,33.29956028185891,Infinity,Infinity,3
20.0,0.0,0.0,12.0,7.0711,0.0,0.0,0.003775,0.0145,39269,580,151,23,0,2,49,0,1,98,1,1,Infinity,33.415037499278846,Infinity,4
20.0,0.0,0.0,0.0,0.0,1763.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,98,2,0,Infinity,Infinity,26.21618324067982,5
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,6
20.0,0.0,0.0,16641.0,7.0711,113.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,46,2,2,99,0,1,Infinity,22.977545489153492,30.179821037584812,7
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,8
20.0,0.0,0.0,4422.0,7.0711,1.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,49,0,1,98,1,1,Infinity,24.889516690183775,37.0,9
20.0,0.0,0.0,330.0,7.0711,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,48,1,1,98,2,0,Infinity,28.633677785754184,Infinity,10
20.0,0.0,0.0,101.0,7.0711,0.0,0.0,0.003775,0.0145,39269,580,151,24,0,1,49,0,1,100,0,0,Infinity,30.341788517248204,Infinity,11
20.0,0.0,0.0,0.0,0.0,618.0,9.995,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,98,1,1,Infinity,Infinity,27.728536972095625,12
20.0,0.0,0.0,1818.0,6.8631,209.0,9.9821,0.003775,0.0145,39269,580,151,25,0,0,48,0,2,97,0,3,Infinity,26.171863515805892,29.29264086791912,13
20.0,29.0,5.0,2041.0,7.0711,160.0,9.9352,0.003775,0.0145,39269,580,151,24,0,1,48,0,2,98,0,2,32.142019004872424,26.00493953296728,29.67807190511264,14
20.0,0.0,0.0,210.0,7.0711,3301.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,48,0,2,97,1,2,Infinity,29.28575448233388,25.311312576777464,15
20.0,0.0,0.0,42.0,7.0711,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,49,1,0,99,0,1,Infinity,31.60768257722124,Infinity,16
20.0,8.0,5.0,0.0,0.0,665.0,10.0,0.003775,0.0145,39269,580,151,24,1,0,50,0,0,99,0,1,34.0,Infinity,27.622789469611448,17
20.0,0.0,0.0,0.0,0.0,7.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,98,2,0,Infinity,Infinity,34.192645077942394,18
20.0,0.0,0.0,1078.0,7.0711,1.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,48,0,2,99,0,1,Infinity,26.925858537247493,37.0,19
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,97,0,3,Infinity,Infinity,Infinity,20
20.0,33.0,5.0,0.0,0.0,2.0,10.0,0.003775,0.0145,39269,580,151,24,0,1,49,1,0,99,0,1,31.955605880641546,Infinity,36.0,21
20.0,0.0,0.0,123.0,7.0711,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,49,0,1,99,0,1,Infinity,30.05748549466076,Infinity,22
20.0,0.0,0.0,4403.0,7.0711,99.0,9.9936,0.003775,0.0145,39269,580,151,24,1,0,48,0,2,98,0,2,Infinity,24.895728871063106,30.37064337992039,23
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,99,0,1,Infinity,Infinity,Infinity,24
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,100,0,0,Infinity,Infinity,Infinity,25
20.0,0.0,0.0,0.0,0.0,65.0,9.2529,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,98,0,2,Infinity,Infinity,30.977632186971547,26
20.0,0.0,0.0,0.0,0.0,51542.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,50,0,0,98,1,1,Infinity,Infinity,21.346539100829663,27
20.0,0.0,0.0,9742.0,7.0711,99.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,49,1,0,99,0,1,Infinity,23.74999773215955,30.37064337992039,28
20.0,0.0,0.0,452.0,7.0711,89750.0,9.9994,0.003775,0.0145,39269,580,151,25,0,0,49,0,1,97,2,1,Infinity,28.179821037584812,20.54637568151486,29
20.0,0.0,0.0,136.0,7.0711,54068.0,9.9997,0.003775,0.0145,39269,580,151,24,1,0,49,0,1,97,1,2,Infinity,29.91253715874966,21.277512628991744,30
20.0,0.0,0.0,0.0,0.0,56.0,10.0,0.003775,0.0145,39269,580,151,25,0,0,49,1,0,99,0,1,Infinity,Infinity,31.192645077942394,31
20.0,0.0,0.0,999.0,7.06,1.0,10.0,0.003775,0.0145,39269,580,151,24,1,0,48,1,1,98,0,2,Infinity,27.03565913220758,37.0,32
20.0,0.0,0.0,643.0,7.0711,4616.0,9.7417,0.003775,0.0145,39269,580,151,24,0,1,49,0,1,94,1,5,Infinity,27.671325072672055,24.827572491354516,33
