Time,Pooled reads (25),Skew (25) ,Pooled reads (50),Skew (50) ,Pooled reads (100),Skew (100) ,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (25),I (25),R (25),S (50),I (50),R (50),S (100),I (100),R (100),pool Ct (25),pool Ct (50),pool Ct (100),Sim no
20.0,2.0,5.0,1016.0,7.0708,956.0,10.0,0.00394,0.01434,49122,717,161,23,1,1,48,0,2,96,1,3,36.56570551809675,32.661969359063335,32.700108179234896,1
20.0,0.0,0.0,62.0,7.0711,385602.0,10.0,0.00394,0.01434,49122,717,161,24,0,1,49,0,1,99,0,1,Infinity,34.414125398230276,28.940904566217753,2
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394,0.01434,49122,717,161,25,0,0,49,1,0,98,0,2,Infinity,Infinity,Infinity,3
20.0,0.0,0.0,0.0,0.0,64.0,8.4011,0.00394,0.01434,49122,717,161,25,0,0,49,1,0,95,1,4,Infinity,Infinity,34.39423310858049,4
20.0,0.0,0.0,23102.0,7.0711,229.0,9.9997,0.00394,0.01434,49122,717,161,25,0,0,48,0,2,95,2,3,Infinity,30.704584391451704,33.59547705231443,5
20.0,0.0,0.0,311.0,4.9014,4326.0,10.0,0.00394,0.01434,49122,717,161,25,0,0,47,1,2,98,0,2,Infinity,33.403706948626535,31.754236016417565,6
20.0,0.0,0.0,2655.0,7.0711,195.0,10.0,0.00394,0.01434,49122,717,161,25,0,0,48,0,2,99,0,1,Infinity,32.06011908949637,33.69617842272321,7
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394,0.01434,49122,717,161,25,0,0,50,0,0,99,1,0,Infinity,Infinity,Infinity,8
20.0,0.0,0.0,108.0,7.0711,980.0,9.9953,0.00394,0.01434,49122,717,161,25,0,0,49,1,0,98,2,0,Infinity,34.06638963193316,32.68457297442068,9
20.0,0.0,0.0,10.0,7.0711,983.0,10.0,0.00394,0.01434,49122,717,161,25,0,0,49,0,1,99,0,1,Infinity,35.557304959111036,32.68265788022876,10
